,name,MeanPosSim,MeanNegSim,MeanPoss,E,nSuperHard,hd2048_E,nhd2048SuperHard,hd4096_E,nhd4096SuperHard,hd8192_E,nhd8192SuperHard,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
0,point_t7,0.8586,0.0001,0.4169,0.5727167725563049,116.10755920410156,0.6608608961105347,21.658248901367188,0.6341518759727478,36.10374450683594,0.6095768809318542,57.4296875,0.8641999959945679,0.6367999911308289,0.5986999869346619,0.5795999765396118,0.5663999915122986,0.5562999844551086,0.5482000112533569,0.5414000153541565,0.5353999733924866,0.5302000045776367,0.5253999829292297,0.5212000012397766,0.5171999931335449,0.5135999917984009,0.5102999806404114,0.507099986076355,0.5041999816894531,0.5013999938964844,0.49880000948905945,0.49619999527931213
1,point_t20,0.9045,0.0,0.1222,0.20113234221935272,6063.79296875,0.5008165240287781,473.24853515625,0.4412655830383301,844.7850341796875,0.37738725543022156,1493.3004150390625,0.91839998960495,0.8299999833106995,0.807699978351593,0.794700026512146,0.7850000262260437,0.7774999737739563,0.7712000012397766,0.765500009059906,0.7605000138282776,0.7559999823570251,0.7519999742507935,0.748199999332428,0.744700014591217,0.7414000034332275,0.7382000088691711,0.7354000210762024,0.7325999736785889,0.7300000190734863,0.727400004863739,0.7250000238418579
2,point_t30,0.9143,0.0,0.056,0.1722451001405716,9157.9091796875,0.5574570298194885,615.7523803710938,0.48658689856529236,1123.8798828125,0.4080464541912079,2029.0179443359375,0.9337000250816345,0.8780999779701233,0.861299991607666,0.8508999943733215,0.843500018119812,0.8371999859809875,0.832099974155426,0.8274999856948853,0.8234999775886536,0.8198999762535095,0.8165000081062317,0.8134999871253967,0.8105999827384949,0.8077999949455261,0.8052999973297119,0.8029000163078308,0.8004999756813049,0.79830002784729,0.7961000204086304,0.7940999865531921
3,point_t40,0.9182,0.0,0.0293,0.16232283413410187,11236.279296875,0.609658420085907,707.6365966796875,0.5333598256111145,1314.673828125,0.4452981650829315,2404.287841796875,0.9437999725341797,0.9064000248908997,0.8931999802589417,0.8845999836921692,0.8783000111579895,0.8730000257492065,0.8684999942779541,0.8647000193595886,0.861299991607666,0.8580999970436096,0.8551999926567078,0.8525000214576721,0.8500000238418579,0.847599983215332,0.8453999757766724,0.8432000279426575,0.8411999940872192,0.8392999768257141,0.8374999761581421,0.8356999754905701
4,point_t50,0.9215,0.0,0.0207,0.1460418552160263,12822.1533203125,0.6391476988792419,756.8881225585938,0.5598946213722229,1428.2100830078125,0.4653756022453308,2645.193603515625,0.9495999813079834,0.9204000234603882,0.9090999960899353,0.9017000198364258,0.8960000276565552,0.8913000226020813,0.8873000144958496,0.8838000297546387,0.8805999755859375,0.8776999711990356,0.8751000165939331,0.8726000189781189,0.8702999949455261,0.8682000041007996,0.8661999702453613,0.8641999959945679,0.8623999953269958,0.8605999946594238,0.8589000105857849,0.8572999835014343
5,point_t60,0.9233,0.0001,0.0154,0.13867275416851044,14227.43359375,0.665137767791748,791.44970703125,0.5857139229774475,1512.8560791015625,0.4880432188510895,2832.137451171875,0.9546999931335449,0.9304999709129333,0.9204000234603882,0.9136999845504761,0.9083999991416931,0.90420001745224,0.9003999829292297,0.8970999717712402,0.8942000269889832,0.8914999961853027,0.8889999985694885,0.8866999745368958,0.8845000267028809,0.8826000094413757,0.8806999921798706,0.8788999915122986,0.8772000074386597,0.8755999803543091,0.8740000128746033,0.8723999857902527
6,point_t70,0.9227,0.0002,0.0096,0.14328475296497345,15275.0576171875,0.7031033039093018,819.6348876953125,0.625717043876648,1585.4122314453125,0.526490330696106,3006.549072265625,0.9623000025749207,0.9455000162124634,0.9373000264167786,0.9315000176429749,0.9269999861717224,0.9230999946594238,0.9197999835014343,0.9169999957084656,0.9143000245094299,0.911899983882904,0.9096999764442444,0.9077000021934509,0.9057999849319458,0.9039999842643738,0.9023000001907349,0.9006999731063843,0.8992000222206116,0.8977000117301941,0.8963000178337097,0.8949000239372253
7,point_t80,0.9276,0.0002,0.0069,0.14591822028160095,16302.966796875,0.7311879992485046,836.1021118164062,0.6557085514068604,1628.351318359375,0.5565690994262695,3120.675048828125,0.9702000021934509,0.9577999711036682,0.9509000182151794,0.9459999799728394,0.9419999718666077,0.9386000037193298,0.9358000159263611,0.9332000017166138,0.9308000206947327,0.9286999702453613,0.926800012588501,0.925000011920929,0.92330002784729,0.9217000007629395,0.9200999736785889,0.9186999797821045,0.9172999858856201,0.9160000085830688,0.9146999716758728,0.9133999943733215
8,point_t90,0.926,0.0001,0.008,0.12379000335931778,17070.57421875,0.7197572588920593,840.71728515625,0.6436236500740051,1642.886474609375,0.5434340238571167,3165.871826171875,0.9667999744415283,0.9521999955177307,0.9447000026702881,0.939300000667572,0.9351000189781189,0.9316999912261963,0.928600013256073,0.9258000254631042,0.92330002784729,0.9211000204086304,0.9190000295639038,0.9171000123023987,0.9151999950408936,0.9135000109672546,0.911899983882904,0.9103999733924866,0.9089000225067139,0.9075000286102295,0.9061999917030334,0.9049000144004822
9,point_t100,0.9309,0.0001,0.0047,0.13404475152492523,17566.576171875,0.7619308233261108,858.7045288085938,0.6884511709213257,1690.5897216796875,0.5877199172973633,3280.502197265625,0.9768000245094299,0.9682999849319458,0.9629999995231628,0.958899974822998,0.9556999802589417,0.953000009059906,0.9505000114440918,0.9483000040054321,0.9462000131607056,0.9444000124931335,0.9427000284194946,0.941100001335144,0.9394999742507935,0.9380999803543091,0.9368000030517578,0.9355000257492065,0.9343000054359436,0.9330999851226807,0.9319999814033508,0.930899977684021
10,hardneg_t7,0.8487,0.0001,0.4338,0.5596840381622314,144.3809051513672,0.657375693321228,22.4670352935791,0.6288585662841797,38.895389556884766,0.6019754409790039,64.5087661743164,0.8533999919891357,0.6100999712944031,0.5716999769210815,0.5519000291824341,0.5386000275611877,0.5286999940872192,0.5206000208854675,0.5135999917984009,0.5077999830245972,0.5026999711990356,0.49810001254081726,0.49390000104904175,0.49000000953674316,0.48649999499320984,0.4832000136375427,0.48019999265670776,0.4772999882698059,0.4745999872684479,0.47209998965263367,0.46959999203681946
11,hardneg_t20,0.8748,-0.0,0.4055,0.08476307988166809,10943.4541015625,0.33385711908340454,439.82366943359375,0.28273314237594604,859.5576171875,0.23104648292064667,1700.896484375,0.8824999928474426,0.6908000111579895,0.6560999751091003,0.6370999813079834,0.6237000226974487,0.613099992275238,0.6044999957084656,0.5971999764442444,0.5906999707221985,0.5849000215530396,0.5795000195503235,0.5748000144958496,0.5703999996185303,0.5662999749183655,0.5623999834060669,0.5587000250816345,0.5551999807357788,0.5519999861717224,0.5489000082015991,0.5458999872207642
12,hardneg_t30,0.8772,0.0,0.3635,0.049896690994501114,15070.955078125,0.3210851848125458,527.9561157226562,0.2644016742706299,1011.4970092773438,0.20902276039123535,1992.431884765625,0.885699987411499,0.7174999713897705,0.6847000122070312,0.6665999889373779,0.6539000272750854,0.6439999938011169,0.6358000040054321,0.628600001335144,0.6223999857902527,0.6166999936103821,0.6114000082015991,0.6065999865531921,0.6021999716758728,0.5982000231742859,0.5943999886512756,0.5907999873161316,0.5874000191688538,0.5842000246047974,0.5810999870300293,0.5781999826431274
13,hardneg_t40,0.879,0.0,0.3223,0.037571489810943604,17147.068359375,0.3234824240207672,574.9749755859375,0.26282575726509094,1090.8499755859375,0.20489321649074554,2138.306640625,0.8895999789237976,0.7382000088691711,0.7073000073432922,0.6898999810218811,0.6776999831199646,0.6682000160217285,0.6601999998092651,0.6534000039100647,0.6474000215530396,0.6419000029563904,0.6370000243186951,0.6324999928474426,0.6283000111579895,0.6244000196456909,0.6207000017166138,0.6172999739646912,0.6140000224113464,0.61080002784729,0.607699990272522,0.6049000024795532
14,hardneg_t50,0.878,0.0,0.3039,0.030868016183376312,18498.59765625,0.32444992661476135,611.4573364257812,0.26297953724861145,1161.663818359375,0.20442843437194824,2286.191650390625,0.88919997215271,0.7441999912261963,0.7135000228881836,0.6959999799728394,0.6841999888420105,0.6747999787330627,0.6671000123023987,0.6603999733924866,0.6545000076293945,0.6492000222206116,0.6442999839782715,0.6398000121116638,0.6358000040054321,0.6320000290870667,0.6284000277519226,0.6248999834060669,0.6216999888420105,0.6186000108718872,0.6157000064849854,0.6128000020980835
